"numer_adres";"stan_zdrowia";"y_wgs84";"dzielnica";"adres";"lokalizacja";"wiek_w_dni";"srednica_k";"pnie_obwod";"miasto";"jednostka";"x_pl2000";"wysokosc";"y_pl2000";"numer_inw";"﻿x_wgs84";"_id";"gatunek_1";"gatunek";"data_wyk_pom"
"";"zły";"52.246262";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"150";"Warszawa";"Zarząd Terenów Publicznych";"7500048.34503497";"XXXX";"5790299.14";"D203993";"21.000708";1;"Aesculus hippocastanum";"kasztanowiec pospolity";"20110912"
"";"średni";"52.246412";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"3,5";"47, 52, 56";"Warszawa";"Zarząd Terenów Publicznych";"7500033.63496504";"5";"5790315.88993007";"D203994";"21.000492";2;"Thuja occidentalis";"żywotnik zachodni";"20110912"
"";"dobry";"52.246549";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"160";"Warszawa";"Zarząd Terenów Publicznych";"7500039.83496504";"14";"5790331.06";"D203995";"21.000583";3;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"zły";"52.246332";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"2";"124";"Warszawa";"Zarząd Terenów Publicznych";"7500017.81496503";"5";"5790306.95006993";"D203996";"21.000261";4;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"średni";"52.246387";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"106";"Warszawa";"Zarząd Terenów Publicznych";"7500015.96783217";"10";"5790313.01664336";"D203997";"21.000234";5;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"średni";"52.246451";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"106";"Warszawa";"Zarząd Terenów Publicznych";"7500013.88503497";"12";"5790320.18";"D203998";"21.000203";6;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"zły";"52.246462";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"227";"Warszawa";"Zarząd Terenów Publicznych";"7500019.19496503";"15";"5790321.41006993";"D203999";"21.000281";7;"Acer negundo";"klon jesionolistny";"20110912"
"";"średni";"52.246518";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"104";"Warszawa";"Zarząd Terenów Publicznych";"7500012.02503497";"13";"5790327.61006993";"D204000";"21.000176";8;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"dobry";"52.246575";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"122";"Warszawa";"Zarząd Terenów Publicznych";"7500010.52503497";"13";"5790334.03006993";"D204001";"21.000154";9;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.246631";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"114";"Warszawa";"Zarząd Terenów Publicznych";"7500008.80503497";"13";"5790340.23006993";"D204002";"21.000129";10;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"dobry";"52.246691";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"147";"Warszawa";"Zarząd Terenów Publicznych";"7500006.91496504";"13";"5790346.92";"D204003";"21.000101";11;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"dobry";"52.246718";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"135";"Warszawa";"Zarząd Terenów Publicznych";"7500009.94503496";"12";"5790349.84993007";"D204004";"21.000146";12;"Robinia pseudoacacia";"robinia biała";"20110912"
"";"dobry";"52.246743";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"14";"230";"Warszawa";"Zarząd Terenów Publicznych";"7500023.50503497";"16";"5790352.62993007";"D204005";"21.000344";13;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"zły";"52.246843";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"155";"Warszawa";"Zarząd Terenów Publicznych";"7500018.84503497";"15";"5790363.78";"D204006";"21.000276";14;"Ulmus minor";"wiąz polny";"20110912"
"";"średni";"52.246887";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"175";"Warszawa";"Zarząd Terenów Publicznych";"7500033.61496503";"12";"5790368.66";"D204007";"21.000492";15;"Acer pseudoplatanus";"klon jawor";"20110912"
"";"zły";"52.246869";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"68";"Warszawa";"Zarząd Terenów Publicznych";"7500041.66503496";"7";"5790366.68";"D204008";"21.00061";16;"Ulmus minor";"wiąz polny";"20110912"
"";"średni";"52.246858";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"70";"Warszawa";"Zarząd Terenów Publicznych";"7500045.51496504";"10";"5790365.48";"D204009";"21.000666";17;"Quercus rubra";"dąb czerwony";"20110912"
"";"dobry";"52.246668";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"156";"Warszawa";"Zarząd Terenów Publicznych";"7500042.91510489";"10";"5790344.34";"D204010";"21.000628";18;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.246894";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"108";"Warszawa";"Zarząd Terenów Publicznych";"7500052.59496504";"17";"5790369.50993007";"D204011";"21.00077";19;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.246873";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"15";"174";"Warszawa";"Zarząd Terenów Publicznych";"7500060.28503496";"15";"5790367.19006993";"D204012";"21.000883";20;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.246831";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"143";"Warszawa";"Zarząd Terenów Publicznych";"7500052.88503497";"15";"5790362.50993007";"D204013";"21.000774";21;"Acer platanoides";"klon pospolity";"20110912"
"";"zły";"52.24679";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"163";"Warszawa";"Zarząd Terenów Publicznych";"7500064.78503496";"12";"5790357.90993007";"D204014";"21.000949";22;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.246747";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"148";"Warszawa";"Zarząd Terenów Publicznych";"7500063.07496503";"16";"5790353.14";"D204015";"21.000924";23;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.24672";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"145";"Warszawa";"Zarząd Terenów Publicznych";"7500053.89496503";"15";"5790350.12";"D204016";"21.000789";24;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.246628";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"15";"175";"Warszawa";"Zarząd Terenów Publicznych";"7500071.51496504";"16";"5790339.88993007";"D204017";"21.001047";25;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.246487";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"101";"Warszawa";"Zarząd Terenów Publicznych";"7500073.35496503";"10";"5790324.16";"D204018";"21.001074";26;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.246477";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"164";"Warszawa";"Zarząd Terenów Publicznych";"7500076.94503496";"12";"5790323.04993007";"D204019";"21.001127";27;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.246399";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"153";"Warszawa";"Zarząd Terenów Publicznych";"7500083.39496503";"15";"5790314.42";"D204020";"21.001221";28;"Aesculus hippocastanum";"kasztanowiec pospolity";"20110912"
