autor,tytul,miejsce_wydania,rok
Adam Mickiewicz,"Mickiewicz, pisarz demokratyczny : wybór prozy publicystycznej Mickiewicza",Warszawa,1947
Adam Mickiewicz,Chefs-d'oeuvre poétiques d'Adam Mickiewicz,Paris,1924
Władysław Józef Mickiewicz,Mickiewicz bibliotekarzem,Francja,1909
Adam Mickiewicz,"Polscy klasycy : A. Mickiewicz, J. Słowacki, J. Czeczot",Warszawa,2013
Adam Mickiewicz,"Początek pierwszej księgi ""Pana Tadeusza"" w przekładzie na dziewięć języków europejskich = Commencement du premier livre du poëme d'Adam Mickiewicz ""Monsieur Thadée"" traduit en neuf langues européennes",Lwów,1888
Aneta Mickiewicz,"Ekwiwalencja frazeologiczna w czeskim tłumaczeniu ""Dziadów cz. III"" Adama Mickiewicza",,2007
Bartosz Mickiewicz,Important of net knowledge in management of processes in Polish agriculture,,2006
Maciej Mickiewicz,"Jeziorowe łowiska specjalne jako produkt wędkarski. Cz. 1, Socjoekonomiczne znaczenie wędkarstwa oraz idea łowisk specjalnych",,2008
Maciej Mickiewicz,"Zarybianie karpiem wód, na których ustanowiono obwody rybackie",,2008
Bartosz Mickiewicz,Poziom wsparcia rolnictwa i obszarów wiejskich w świetle Wieloletnich Ram Finansowych,,2015
Małgorzata Mickiewicz,Program rolnośrodowiskowy jako instrument ochrony środowiska na obszarach wiejskich w kontekście rozwoju lokalnego,,2009
Bartosz Mickiewicz,Problematyka dopłat bezpośrednich w rolnictwie polskim w latach 2004-2010,,2011
Paweł Mickiewicz,Zarządzanie przestrzenią na szczeblu lokalnym w gminach atrakcyjnych turystycznie i przyrodniczo,,2013
Agata Mickiewicz,Hydrogeologiczna charakterystyka źródeł w zlewni rzeki Pławnej (Ziemia Kłodzka),,2013
Maciej Mickiewicz,Value and structure of fish catches and stocking intensity in lake enterprises before and after fisheries ownership transfer in Poland,,2012
Witold Mickiewicz,Optoelektroniczne pomiary aksjograficzne stawu skroniowo-żuchwowego człowieka,,2010
Bartosz Mickiewicz,Edukacja ekologiczna studentów ekonomii AR w Szczecinie,,2005
Aneta Mickiewicz,Stan badań wpływów języka czeskiego na dialekt śląski,,2011
Paweł Mickiewicz,Wpływ dopłat bezpośrednich na zmiany zachodzące w strukturze agrarnej w rolnictwie województwa zachodniopomorskiego,,2009
Małgorzata Mickiewicz,Szanse i bariery wdrażania programu rolnośrodowiskowego na przykładzie woj. warmińsko-mazurskiego,,2010
Witold Mickiewicz,Zautomatyzowany system do przestrzennego obrazowania pola akustycznego,,2012
Witold Mickiewicz,Obrazowanie wartości skutecznej prędkości akustycznej na bazie pomiarów PIV,,2012
Witold Mickiewicz,Spatial audio reproduction by headphones using binaural room impulse responses measured individually by the listener,,2007
Maciej Mickiewicz,"Gospodarka rybacka w śródlądowych wodach płynących w roku 2006. Cz. 2, Zarybienia",,2008
Maciej Mickiewicz,Średnie ceny ryb towarowych i materiału zarybieniowego stosowane przez podmioty prowadzące gospodarkę rybacką w obwodach rybackich w 2009 roku,,2010
Maciej Mickiewicz,"Gospodarka rybacka w śródlądowych wodach płynących w roku 2009. Cz. 2, Zarybienia",,2011
Maciej Mickiewicz,Wielkość i charakterystyka zarybień obwodów rybackich węgorzem europejskim Anguilla anguilla L. w 2012 roku,,2013
Kinga Mickiewicz,Problemy usamodzielniania wychowanków pieczy zastępczej,,2016
Kinga Mickiewicz,Wspieranie rodziny źle funkcjonującej z perspektywy asystenta rodziny i psychologa,,2014
Bartosz Mickiewicz,Analiza porównawcza instrumentów wsparcia WPR w ramach wieloletniej perspektywy finansowej 2014-2020 w stosunku do WPR 2007-2013,,2015
Bartosz Mickiewicz,Rola programów rolnośrodowiskowych w rozwoju gospodarstw rolnych położonych na terenie województwa zachodniopomorskiego,,2015
Paweł Mickiewicz,Zarządzanie procesem przygotowywania inwestycji drogowych w aspekcie współpracy z jednostkami zewnętrznymi i udziału społeczeństwa w podejmowaniu decyzji,,2011
Maciej Mickiewicz,Economic effectiveness of stocking lakes in Poland,,2013
Maciej Mickiewicz,Economic ranking of the importance of fish species to lake fisheries stocking management in Poland,,2012
Bartosz Mickiewicz,Przegląd instrumentów polityki rolnej stosowanych na Białorusi,,2010
Bogusława Mickiewicz,Bezpośrednie inwestycje zagraniczne a sytuacja makroekonomiczna Litwy,,2003
Bartosz Mickiewicz,Realizacja programu rent strukturalnych w Polsce w świetle danych ARiMR,,2012
Aneta Mickiewicz,"Środki leksykalnej i stylistycznej perswazji propagandowej w opowiadaniach ""Krásná Tortiza"" Jana Drdy",,2010
Paweł Mickiewicz,Planowane przedsięwzięcia gospodarcze oraz potrzeby szkoleniowe rolników w województwie zachodniopomorskim,,2009
Paweł Mickiewicz,Źródła informacji oraz poziom wiedzy rolników z zakresu programów rozwojowych gospodarstw rolnych,,2008
Bartosz Mickiewicz,Koordynacja i zarządzanie pracami w ramach programu rozwoju obszarów wiejskich na lata 2007-2013,,2011
Witold Mickiewicz,Systematic error of acoustic particle image velocimetry and its correction,,2014
Maciej Mickiewicz,Porównanie średnich cen ryb towarowych i materiału zarybieniowego stosowanych przez podmioty prowadzące gospodarkę rybacką w 2009 i 2011 roku,,2012
Maciej Mickiewicz,"Gospodarka rybacka w śródlądowych wodach płynących w 2010 roku. Cz. 2, Zarybienia",,2012
Maciej Mickiewicz,Wielkość i charakterystyka zarybień wód śródlądowych w Polsce węgorzem europejskim (Anguilla anguilla L.) w 2011 roku,,2012
Maciej Mickiewicz,"Gospodarka rybacka w śródlądowych wodach płynących w 2011 roku. Cz. 2, Zarybienia",,2013
Maciej Mickiewicz,"Jeziorowe łowiska specjalne jako produkt wędkarski. Cz. 2, Zasady organizacji i zarządzania w przypadku jeziorowych łowisk specjalnych",,2008
Maciej Mickiewicz,"Gospodarka rybacka w śródlądowych wodach płynących w roku 2007. Cz. 2, Zarybienia",,2009
Maciej Mickiewicz,"Gospodarka rybacka w śródlądowych wodach płynących w roku 2008. Cz. 2, Zarybienia",,2010
Maciej Mickiewicz,Analiza ekonomicznej efektywności zarybień jezior użytkowanych przez Gospodarstwo Jeziorowe Sp. z o. o. w Ełku,,2010
Maciej Mickiewicz,Ekonomiczna efektywność zarybień jezior użytkowanych przez Gospodarstwo Rybackie Szwaderki Sp. z o.o.,,2011
Bartosz Mickiewicz,Gospodarstwo rolne według głównego źródła dochodów w okresie 2002-2010,,2014
Witold Mickiewicz,Badanie odpowiedzi impulsowej układów liniowych przy wykorzystaniu pobudzeń pseudolosowych i sprzętowego wspomagania obliczeń,,2005
Bartosz Mickiewicz,Analiza zmiany poziomu produkcji towarowej w rolnictwie w ujęciu regionalnym pomiędzy 2001 a 2010 r.,,2015
Bartosz Mickiewicz,Problematyka bezrobocia jako ważne wyzwanie dla zrównoważonego rozwoju obszarów wiejskich,,2012
Bartosz Mickiewicz,Charakterystyka produkcji zwierzęcej w świetle powszechnego spisu rolnego z 2002 i 2010 r.,,2012
Kinga Mickiewicz,Kto i dla kogo stanowi rodzinę zastępczą spokrewnioną : raport z badań,,2015
