"";"id";"likes_count";"from_id";"from_name";"message";"created_time";"type";"link";"story";"comments_count";"shares_count";"love_count";"haha_count";"wow_count";"sad_count";"angry_count"
"353";"132197036871908_183850521706559";2;"132197036871908";"Muzeum II Wojny Światowej";"Przypominamy, że dziś w Krakowie w Muzeum Historycznym Miasta Krakowa o godz. 17.00 promocja książki Anny Czocher ""W okupowanym Krakowie"". Więcej informacji w Wydarzeniach. 
Dla 200 osoby, która polubi naszą stronę mamy w prezencie egzemplarz tej książki.";"2011-11-25T07:54:32+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.151459168279028.34912.132197036871908/183850498373228/?type=3";NA;0;1;0;0;0;0;0
"354";"132197036871908_185977911493820";13;"132197036871908";"Muzeum II Wojny Światowej";"W wyniku akcji zbiórki eksponatów prowadzonej przez Muzeum otrzymaliśmy już pierwsze pamiątki od darczyńców. Prezentujemy wybrane eksponaty z ich historią.";"2011-11-29T10:05:45+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.169494963142115.40527.132197036871908/185974311494180/?type=3";"Muzeum II Wojny Światowej added 5 new photos to the album: Zbiórka eksponatów.";1;6;NA;NA;NA;NA;NA
"355";"132197036871908_186596878098590";2;"132197036871908";"Muzeum II Wojny Światowej";"Otok na czapkę marynarza z okrętu liniowego „Schleswig – Holstein” (okręt wodowany w 1906 r.).  Taśma wykonana jest z czarnego materiału, na którym znajduje się wyszyty złotą nicią pisany czcionką gotycką napis:,, LINIENSCHIFF SCHLESWIG=HOLSTEIN"". Pochodzi najprawdopodobniej sprzed 1939r.";"2011-11-30T11:54:34+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.169494963142115.40527.132197036871908/186593854765559/?type=3";"Muzeum II Wojny Światowej added a new photo to the album: Zbiórka eksponatów.";0;2;0;0;0;0;0
"356";"132197036871908_187650077993270";9;"132197036871908";"Muzeum II Wojny Światowej";"Pod koniec lipca 2011r. rozpoczęły się prace archeologiczne na terenie, na którym powstaje nasze Muzeum. Potrwają do maja 2012 r. ";"2011-12-02T12:02:03+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.136008106490801.30751.132197036871908/187646154660329/?type=3";"Muzeum II Wojny Światowej added 5 new photos to the album: Prace archeologiczne na terenie przyszłej siedziby Muzeum.";0;5;NA;NA;NA;NA;NA
"357";"132197036871908_189771727781105";0;"132197036871908";"Muzeum II Wojny Światowej";"Wystawa ""Marian Kołodziej. Teatr życia""";"2011-12-05T20:24:28+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.189764344448510.44749.132197036871908/189766154448329/?type=3";"Muzeum II Wojny Światowej added 12 new photos to the album: Otwarcie wystawy ""Marian Kołodziej. Teatr życia"".";0;1;0;0;0;0;0
"452";"132197036871908_320718877956824";2;"132197036871908";"Muzeum II Wojny Światowej";"4 grudnia br. w Centrum św. Jana w Gdańsku otwarto wystawę ""Marian Kołodziej. Teatr życia"". Wystawa jest częścią projektu realizowanego wspólnie przez Muzeum Narodowe w Gdańsku, Muzeum II Wojny Światowej oraz Nadbałtyckie Centrum Kultury. Na wystawie zaprezentowano dorobek artystyczny Mariana Kołodzieja, znakomitego scenografa teatralnego i filmowego. Można tu znaleźć projekty i zachowane fragmenty dekoracji, projekty kostiumów, zdjęcia z premier teatralnych, dokumentację wystaw realizowanych przez Mariana Kołodzieja w MNG, rejestracje spektakli TV i instalację Klisze pamięci. Labirynty Mariana Kołodzieja. Wystawę będzie można oglądać do 1 stycznia 2012 r. Wstęp wolny. Zapraszamy!
 Więcej informacji o projekcie http://www.muzeum1939.pl/?str=8&id=95 
";"2011-12-05T20:39:07+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.189764344448510.44749.132197036871908/189764427781835/?type=3";"Muzeum II Wojny Światowej shared their album.";0;1;0;0;0;0;0
"450";"132197036871908_319211088091320";2;"132197036871908";"Muzeum II Wojny Światowej";"Naszej muzealnej zbiórki ciąg dalszy. Tym razem prezentujemy Wam pamiątki po poruczniku Andrzeju Radwańskim, przekazane Muzeum II Wojny Światowej przez jego syna, Marka Radwańskiego. Porucznik Andrzej Radwański walczył w barwach 307 „Lwowskiego” Dywizjonu Myśliwskiego (Nocnego) tzw. Lwowskich Puchaczy (od odznaki 307 dyonu przedstawiającego sowę na tle księżyca). Por. Radwański przeniósł się do lotnictwa z wojsk pancernych (do 1942 r. służył w 10 Brygadzie Kawalerii Pancernej). W październiku 1942 r. wstąpił do lotnictwa, gdzie ze względu na daltonizm został skierowany na kurs radio obserwatorów. Do Polski wrócił w 1947r. Zmarł w 1975 r.";"2011-12-06T10:56:08+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.190090901082521.44792.132197036871908/190091707749107/?type=3";"Muzeum II Wojny Światowej shared their album.";0;1;0;0;0;0;0
"358";"132197036871908_190683101023301";2;"132197036871908";"Muzeum II Wojny Światowej";"Dywizjon 307.";"2011-12-07T12:55:55+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.190090901082521.44792.132197036871908/190681581023453/?type=3";"Muzeum II Wojny Światowej added 7 new photos to the album: Pamiątki po poruczniku Andrzeju Radwańskim.";0;5;0;0;0;0;0
"409";"132197036871908_254618224593993";0;"132197036871908";"Muzeum II Wojny Światowej";"Kolejna porcja pamiątek po poruczniku Radwańskim. Dziś pokazujemy Wam zdjęcia z okresu służby porucznika w Dywizjonie 307.";"2011-12-07T12:59:50+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.190090901082521.44792.132197036871908/190091707749107/?type=3";"Muzeum II Wojny Światowej shared their album.";0;0;0;0;0;0;0
"440";"132197036871908_307752659247303";2;"132197036871908";"Muzeum II Wojny Światowej";"Dziś prezentujemy dokumenty pochodzące z czasów służby porucznika Radwańskiego w RAFie. Zachęcamy do obejrzenia!";"2011-12-08T16:22:56+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.190090901082521.44792.132197036871908/191278410963770/?type=3";"Muzeum II Wojny Światowej shared their photo.";0;1;0;0;0;0;0
