"u_nazwa","u_stocznia","u_wrak","u_typ"
"U-102","Friedrich Krupp Germaniawerft","Point(-10.43333333 48.55)","German Type VIIB submarine"
"U-101","Friedrich Krupp Germaniawerft","Point(10.83333333 54.11666667)","German Type VIIB submarine"
"U-60","Deutsche Werke",,
"German submarine U-506","Deutsche Werft","Point(-16.5 42.5)",
"U-93","Friedrich Krupp Germaniawerft","Point(-15.86666667 36.16666667)","Okręty podwodne typu VIIC"
"U-75","Bremer Vulkan","Point(26.66666667 31.83333333)","German Type VIIB submarine"
"German submarine U-564","Blohm + Voss",,"Okręty podwodne typu VIIC"
"German submarine U-128","AG Weser","Point(-35.583 10.0)","Okręty podwodne typu IXC"
"German submarine U-128","Deutsche Schiff- und Maschinenbau","Point(-35.583 10.0)","Okręty podwodne typu IXC"
"U-86","Flender Werke",,"German Type VIIB submarine"
"U-142","Deutsche Werke",,"German Type IID submarine"
"U-139","Deutsche Werke",,
"U-116","Friedrich Krupp Germaniawerft","Point(-31.5 45.0)",
"German submarine U-413","Danziger Werft","Point(-0.0166667 50.35)","Okręty podwodne typu VIIC"
"U-117","Friedrich Krupp Germaniawerft","Point(38.35 39.7)",
"German submarine U-103","AG Weser","Point(10.1667 54.3167)","Okręty podwodne typu IXB"
"U-145","Deutsche Werke","Point(-9.93333333 55.78333333)",
"U-140","Deutsche Werke",,
"U-58","Deutsche Werke",,
"German submarine U-135","Bremer Vulkan","Point(-13.28333333 28.33333333)","Okręty podwodne typu VIIC"
"U-149","Deutsche Werke",,
"German submarine U-157","AG Weser","Point(-82.05 24.21666667)",
"U-159","AG Weser",,
"U-148","Deutsche Werke",,
"German submarine U-883","AG Weser","Point(-8.666667 55.733333)","Okręty podwodne typu IXD-1"
"German submarine U-171","AG Weser","Point(-3.784 47.797)",
"German submarine U-153","AG Weser",,
"U-158","AG Weser","Point(-67.46666667 32.83333333)",
"German submarine U-522",,"Point(-26.36666667 31.45)",
"German submarine U-432","Schichau-Werke","Point(-28.33333333 51.58333333)","Okręty podwodne typu VIIC"
"German submarine U-200","AG Weser","Point(-25.41666667 58.25)","Okręty podwodne typu IXD-2"
"German submarine U-533","Deutsche Werft","Point(56.83333333 25.46666667)",
