"imie_nazwisko","pseudonim","data_urodzenia","miejsce_urodzenia","pod_wplywem","plec","miejsce_smierci"
"Stacy Horn","","1956-06-03T00:00:00Z","","","kobieta",""
"Jude Milhon","","1939-03-12T00:00:00Z","Anderson (Indiana)","","kobieta",""
"Leonhard Euler","","1707-04-15T00:00:00Z","Bazylea","Christiaan Huygens","mężczyzna","Petersburg"
"Leonhard Euler","","1707-04-15T00:00:00Z","Bazylea","Pierre de Fermat","mężczyzna","Petersburg"
"Leonhard Euler","","1707-04-15T00:00:00Z","Bazylea","Pierre Louis Maupertuis","mężczyzna","Petersburg"
"August Strindberg","","1849-01-01T00:00:00Z","Sztokholm","Jean-Jacques Rousseau","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-22T00:00:00Z","Sztokholm","Jean-Jacques Rousseau","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-01T00:00:00Z","Sztokholm","Friedrich Nietzsche","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-22T00:00:00Z","Sztokholm","Friedrich Nietzsche","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-01T00:00:00Z","Sztokholm","Edgar Allan Poe","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-22T00:00:00Z","Sztokholm","Edgar Allan Poe","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-01T00:00:00Z","Sztokholm","Henryk Ibsen","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-22T00:00:00Z","Sztokholm","Henryk Ibsen","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-01T00:00:00Z","Sztokholm","Arthur Schopenhauer","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-22T00:00:00Z","Sztokholm","Arthur Schopenhauer","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-01T00:00:00Z","Sztokholm","Karl Robert Eduard von Hartmann","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-22T00:00:00Z","Sztokholm","Karl Robert Eduard von Hartmann","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-01T00:00:00Z","Sztokholm","Ernst Theodor Amadeus Hoffmann","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-22T00:00:00Z","Sztokholm","Ernst Theodor Amadeus Hoffmann","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-01T00:00:00Z","Sztokholm","Emanuel Swedenborg","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-22T00:00:00Z","Sztokholm","Emanuel Swedenborg","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-01T00:00:00Z","Sztokholm","Georg Brandes","mężczyzna","Adolf Fredriks församling"
"August Strindberg","","1849-01-22T00:00:00Z","Sztokholm","Georg Brandes","mężczyzna","Adolf Fredriks församling"
"Grazia Deledda","","1871-09-27T00:00:00Z","Nuoro","","kobieta","Rzym"
"Boris Vian","Adolphe Schmürz","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Aimé Damour","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Amélie de Labmineuse","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Andy Blackshick","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Anna Tof","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Anna Tof de Raspail","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Bison Duravi","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Bison Ravi","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Boriso Viana","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Claude Varnier","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Eugène Minoux","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Fanaton","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Gédéon Mauve","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Gédéon Molle","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Gérard Dunoyer","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Hugo Hachebuisson","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Joëlle Du Beausset","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Josèfe Pignerole","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Jules Dupont","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Lydio Sincrazi","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Michel Delaroche","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Odile Legrillon","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Onuphre Hirondelle","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Otto Link","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","S. Culape","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Vernon Sullivan","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Xavier Clarke","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Zéphirin Hanvélo","1920-03-10T00:00:00Z","Ville-d'Avray","Simone de Beauvoir","mężczyzna","Paryż"
"Boris Vian","Adolphe Schmürz","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Aimé Damour","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Amélie de Labmineuse","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Andy Blackshick","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Anna Tof","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Anna Tof de Raspail","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Bison Duravi","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Bison Ravi","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Boriso Viana","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Claude Varnier","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Eugène Minoux","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Fanaton","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Gédéon Mauve","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Gédéon Molle","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Gérard Dunoyer","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
"Boris Vian","Hugo Hachebuisson","1920-03-10T00:00:00Z","Ville-d'Avray","Jean-Paul Sartre","mężczyzna","Paryż"
